name,frame,card_type,monster_type,level,attribute,cardmarket,tcgplayer,word_count
El Shaddoll Shekhinaga,fusion,Fusion Monster,Machine,10,EARTH,0.13,0.23,89
El Shaddoll Wendigo,fusion,Fusion Monster,Psychic,6,WIND,0.13,0.17,70
El Shaddoll Winda,fusion,Fusion Monster,Spellcaster,5,DARK,1.37,1.92,60
Eldeen,normal,Normal Monster,Spellcaster,3,LIGHT,0.00,0.00,12
Elder Entity N'tss,fusion,Fusion Monster,Fairy,4,LIGHT,0.53,0.17,73
Elder Entity Norden,fusion,Fusion Monster,Fairy,4,WATER,1.20,0.72,46
Elder of the Six Samurai,effect,Effect Monster,Warrior,3,EARTH,0.21,0.18,20
Eldlich the Golden Lord,effect,Effect Monster,Zombie,10,LIGHT,0.18,0.13,96
Eldlich the Mad Golden Lord,fusion,Fusion Monster,Zombie,10,LIGHT,0.11,0.15,74
Electric Jellyfish,effect,Effect Monster,Aqua,4,WATER,0.56,0.67,69
Electric Lizard,effect,Effect Monster,Thunder,3,EARTH,0.30,0.01,13
Electric Snake,effect,Effect Monster,Thunder,3,LIGHT,0.17,0.01,27
Electric Virus,effect,Effect Monster,Thunder,3,LIGHT,0.23,0.43,27
Electro Gunner,effect,Effect Monster,Machine,4,FIRE,0.00,0.00,71
Electrode Beast Anion,effect,Effect Monster,Thunder,2,LIGHT,0.00,0.00,66
Electrode Beast Cation,effect,Effect Monster,Thunder,2,LIGHT,0.00,0.00,99
Electromagnetic Bagworm,effect,Flip Effect Monster,Insect,3,LIGHT,0.09,0.08,35
Electromagnetic Turtle,effect,Effect Monster,Machine,4,LIGHT,0.07,0.07,31
Elegy the Melodious Diva,effect,Effect Monster,Fairy,5,LIGHT,0.15,0.22,26
Element Doom,effect,Effect Monster,Fiend,4,DARK,0.05,0.15,52
Element Dragon,effect,Effect Monster,Dragon,4,LIGHT,0.11,0.18,44
Element Magician,effect,Effect Monster,Spellcaster,4,LIGHT,0.07,0.16,45
Element Saurus,effect,Effect Monster,Dinosaur,4,DARK,0.15,0.16,37
Element Soldier,effect,Effect Monster,Fiend,4,DARK,0.03,0.20,41
Element Valkyrie,effect,Effect Monster,Fairy,4,LIGHT,0.04,0.28,42
Elemental Grace Doriado,effect,Effect Monster,Spellcaster,9,LIGHT,0.16,0.18,65
Elemental HERO Absolute Zero,fusion,Fusion Monster,Warrior,8,WATER,9.60,9.72,38
Elemental HERO Air Neos,fusion,Fusion Monster,Warrior,7,WIND,41.94,142.14,61
Elemental HERO Aqua Neos,fusion,Fusion Monster,Warrior,7,WATER,2.91,2.84,58
Elemental HERO Avian,normal,Normal Monster,Warrior,3,WIND,0.11,0.18,23
Elemental HERO Bladedge,effect,Effect Monster,Warrior,7,EARTH,0.05,0.14,15
Elemental HERO Blazeman,effect,Effect Monster,Warrior,4,FIRE,0.24,0.26,99
Elemental HERO Brave Neos,fusion,Fusion Monster,Warrior,7,LIGHT,1.78,1.17,58
Elemental HERO Bubbleman,effect,Effect Monster,Warrior,4,WATER,0.10,0.17,47
Elemental HERO Burstinatrix,normal,Normal Monster,Warrior,3,FIRE,0.12,0.20,15
Elemental HERO Captain Gold,effect,Effect Monster,Warrior,4,LIGHT,0.81,1.97,28
Elemental HERO Chaos Neos,fusion,Fusion Monster,Warrior,9,DARK,0.22,0.18,115
Elemental HERO Clayman,normal,Normal Monster,Warrior,4,EARTH,0.08,0.20,17
Elemental HERO Core,fusion,Fusion Monster,Warrior,9,EARTH,4.27,0.54,98
Elemental HERO Cosmo Neos,fusion,Fusion Monster,Warrior,11,LIGHT,0.96,0.56,106
Elemental HERO Dark Neos,fusion,Fusion Monster,Warrior,7,DARK,5.22,5.42,78
Elemental HERO Darkbright,fusion,Fusion Monster,Warrior,6,DARK,0.29,0.22,64
Elemental HERO Divine Neos,fusion,Fusion Monster,Warrior,12,LIGHT,0.77,0.80,72
Elemental HERO Electrum,fusion,Fusion Monster,Warrior,10,LIGHT,0.13,0.17,72
Elemental HERO Escuridao,fusion,Fusion Monster,Warrior,8,DARK,1.59,1.06,33
Elemental HERO Flame Wingman,fusion,Fusion Monster,Warrior,6,WIND,0.48,0.29,49
Elemental HERO Flame Wingman - Infernal Rage,fusion,Fusion Monster,Warrior,8,WIND,0.85,1.54,92
Elemental HERO Flare Neos,fusion,Fusion Monster,Warrior,7,FIRE,1.88,1.38,54
Elemental HERO Flash,effect,Effect Monster,Warrior,4,LIGHT,0.28,0.46,44
Elemental HERO Gaia,fusion,Fusion Monster,Warrior,6,EARTH,6.61,9.61,50
Elemental HERO Glow Neos,fusion,Fusion Monster,Warrior,7,LIGHT,5.23,3.62,97
Elemental HERO Grand Neos,fusion,Fusion Monster,Warrior,7,EARTH,4.05,4.30,59
Elemental HERO Grandmerge,fusion,Fusion Monster,Warrior,6,LIGHT,0.62,1.48,68
Elemental HERO Great Tornado,fusion,Fusion Monster,Warrior,8,WIND,0.23,0.24,39
Elemental HERO Heat,effect,Effect Monster,Pyro,4,FIRE,0.12,0.24,12
Elemental HERO Honest Neos,effect,Effect Monster,Warrior,7,LIGHT,0.81,0.19,63
Elemental HERO Ice Edge,effect,Effect Monster,Warrior,3,WATER,1.18,0.93,52
Elemental HERO Inferno,fusion,Fusion Monster,Pyro,8,FIRE,0.85,0.78,37
Elemental HERO Knospe,effect,Effect Monster,Plant,3,EARTH,0.59,1.06,43
Elemental HERO Lady Heat,effect,Effect Monster,Pyro,4,FIRE,0.58,0.92,20
Elemental HERO Liquid Soldier,effect,Effect Monster,Warrior,4,WATER,10.43,4.57,72
Elemental HERO Magma Neos,fusion,Fusion Monster,Warrior,9,FIRE,0.29,0.32,80
Elemental HERO Marine Neos,fusion,Fusion Monster,Warrior,8,WATER,1.51,1.46,44
Elemental HERO Mariner,fusion,Fusion Monster,Warrior,5,WATER,0.19,0.29,39
Elemental HERO Mudballman,fusion,Fusion Monster,Warrior,6,EARTH,3.39,0.78,19
Elemental HERO Nebula Neos,fusion,Fusion Monster,Warrior,9,EARTH,0.56,0.41,98
Elemental HERO Necroid Shaman,fusion,Fusion Monster,Warrior,6,DARK,0.10,0.22,49
Elemental HERO Necroshade,effect,Effect Monster,Warrior,5,DARK,0.08,0.14,24
Elemental HERO Neo Bubbleman,effect,Effect Monster,Warrior,4,WATER,0.21,0.33,62
Elemental HERO Neos,normal,Normal Monster,Warrior,7,LIGHT,0.08,0.21,22
Elemental HERO Neos Alius,effect,Gemini Monster,Warrior,4,LIGHT,0.14,0.22,54
Elemental HERO Neos Kluger,fusion,Fusion Monster,Spellcaster,9,LIGHT,0.33,0.24,85
Elemental HERO Neos Knight,fusion,Fusion Monster,Warrior,7,LIGHT,0.90,0.96,53
Elemental HERO Nova Master,fusion,Fusion Monster,Warrior,8,FIRE,0.13,0.24,24
Elemental HERO Ocean,effect,Effect Monster,Warrior,4,WATER,0.43,0.58,25
Elemental HERO Phoenix Enforcer,fusion,Fusion Monster,Warrior,6,FIRE,2.07,0.89,26
Elemental HERO Plasma Vice,fusion,Fusion Monster,Warrior,8,EARTH,0.10,0.30,51
Elemental HERO Poison Rose,effect,Effect Monster,Plant,6,EARTH,0.47,0.33,50
Elemental HERO Prisma,effect,Effect Monster,Warrior,4,LIGHT,2.86,3.20,45
Elemental HERO Rampart Blaster,fusion,Fusion Monster,Warrior,6,EARTH,0.28,0.28,49
Elemental HERO Shadow Mist,effect,Effect Monster,Warrior,4,DARK,1.66,3.17,62
Elemental HERO Shining Flare Wingman,fusion,Fusion Monster,Warrior,8,LIGHT,0.39,0.21,63
Elemental HERO Shining Neos Wingman,fusion,Fusion Monster,Warrior,8,LIGHT,6.20,4.22,88
Elemental HERO Shining Phoenix Enforcer,fusion,Fusion Monster,Warrior,8,FIRE,4.03,1.71,40
Elemental HERO Solid Soldier,effect,Effect Monster,Warrior,4,EARTH,0.17,0.24,70
Elemental HERO Sparkman,normal,Normal Monster,Warrior,4,LIGHT,0.02,0.19,24
Elemental HERO Spirit of Neos,effect,Effect Monster,Warrior,7,LIGHT,0.45,0.28,98
Elemental HERO Steam Healer,fusion,Fusion Monster,Warrior,5,WATER,0.28,0.22,47
Elemental HERO Storm Neos,fusion,Fusion Monster,Warrior,9,WIND,4.64,3.40,80
Elemental HERO Stratos,effect,Effect Monster,Warrior,4,WIND,2.29,2.40,44
Elemental HERO Sunrise,fusion,Fusion Monster,Warrior,7,LIGHT,5.38,2.55,79
Elemental HERO Tempest,fusion,Fusion Monster,Warrior,8,WIND,3.41,0.28,55
Elemental HERO Terra Firma,fusion,Fusion Monster,Warrior,8,EARTH,1.28,1.98,41
Elemental HERO The Shining,fusion,Fusion Monster,Warrior,8,LIGHT,5.19,2.09,62
Elemental HERO Thunder Giant,fusion,Fusion Monster,Warrior,6,LIGHT,0.16,0.23,48
Elemental HERO Voltic,effect,Effect Monster,Thunder,4,LIGHT,0.19,0.17,23
Elemental HERO Wild Wingman,fusion,Fusion Monster,Warrior,8,EARTH,0.09,0.20,35
Elemental HERO Wildedge,fusion,Fusion Monster,Warrior,8,EARTH,1.34,1.38,36
Elemental HERO Wildheart,effect,Effect Monster,Warrior,4,EARTH,0.06,0.13,7
Elemental HERO Woodsman,effect,Effect Monster,Warrior,4,EARTH,0.19,0.33,20
Elemental Mistress Doriado,ritual,Ritual Effect Monster,Spellcaster,3,LIGHT,1.02,0.79,35
Elementsaber Aina,effect,Effect Monster,Warrior,2,EARTH,0.13,0.12,71
Elementsaber Lapauila,effect,Effect Monster,Warrior,4,LIGHT,0.07,0.19,61
Elementsaber Lapauila Mana,effect,Effect Monster,Warrior,6,LIGHT,0.08,0.19,92
Elementsaber Makani,effect,Effect Monster,Warrior,2,WIND,0.38,0.46,60
Elementsaber Malo,effect,Effect Monster,Warrior,3,FIRE,0.08,0.12,60
Elementsaber Molehu,effect,Effect Monster,Warrior,4,DARK,0.46,0.71,60
Elementsaber Nalu,effect,Effect Monster,Warrior,3,WATER,0.12,0.21,63
Elephant Statue of Blessing,effect,Effect Monster,Rock,3,EARTH,0.22,0.16,21
Elephant Statue of Disaster,effect,Effect Monster,Rock,3,EARTH,0.06,0.13,22
Elephun,effect,Tuner Monster,Beast,2,EARTH,0.18,0.23,39
Elphase,link,Link Monster,Cyberse,L2,WIND,0.13,0.14,73
EM:P Gremeowde,effect,Effect Monster,Cyberse,2,DARK,0.00,0.00,100
Embryonic Beast,normal,Normal Monster,Fiend,2,DARK,0.00,0.00,14
Emes the Infinity,effect,Effect Monster,Machine,7,LIGHT,1.51,0.88,28
Emissary from Pandemonium,effect,Tuner Monster,Fiend,7,EARTH,0.18,0.22,30
Emissary of Darkness Token,token,Token,Fairy,7,LIGHT,1.48,0.85,20
Emissary of the Afterlife,effect,Effect Monster,Fiend,4,DARK,1.00,1.50,27
Emissary of the Oasis,effect,Effect Monster,Spellcaster,3,LIGHT,0.10,0.19,58
Emperor Charles the Great,link,Link Monster,Warrior,L1,FIRE,0.00,2.36,98
Emperor Maju Garzett,effect,Effect Monster,Fiend,9,DARK,0.11,0.08,38
Emperor of Prophecy,effect,Effect Monster,Spellcaster,5,DARK,0.23,0.20,61
Emperor of the Land and Sea,normal,Normal Monster,Reptile,5,WATER,0.00,0.00,9
Emperor Sem,effect,Effect Monster,Fiend,4,LIGHT,0.06,0.20,25
Emperor Tanuki's Critter Count,effect,Effect Monster,Fiend,1,DARK,0.06,0.05,58
Empress Judge,fusion,Fusion Monster,Warrior,6,EARTH,0.35,0.14,4
Empress Mantis,normal,Normal Monster,Insect,6,WIND,0.03,0.13,11
Empress of Prophecy,xyz,XYZ Monster,Spellcaster,5,LIGHT,0.25,0.23,73
Enchanting Mermaid,normal,Normal Monster,Fish,3,WATER,0.16,0.07,10
Encode Talker,link,Link Monster,Cyberse,L3,LIGHT,0.10,0.20,76
Endless Decay,effect,Effect Monster,Zombie,5,DARK,0.09,0.12,32
"Endymion, the Magistus of Mastery",effect,Effect Monster,Spellcaster,4,WATER,0.07,0.05,63
"Endymion, the Master Magician",effect,Effect Monster,Spellcaster,7,DARK,0.06,0.25,58
"Endymion, the Mighty Master of Magic",effect_pendulum,Pendulum Effect Monster,Spellcaster,7,DARK,0.44,1.16,188
Energy Bravery,effect,Effect Monster,Warrior,4,LIGHT,0.08,0.13,17
Engraver of the Mark,effect,Effect Monster,Spellcaster,4,DARK,0.03,0.08,74
Enigmaster Packbit,synchro,Synchro Monster,Cyberse,8,WATER,0.00,0.00,94
"Enishi, Shien's Chancellor",effect,Effect Monster,Warrior,6,LIGHT,0.14,0.09,42
Enlightenment Dragon,fusion,Fusion Monster,Dragon,10,LIGHT,0.00,0.00,99
Enlightenment Paladin,synchro,Synchro Monster,Spellcaster,8,DARK,0.34,0.47,69
Enraged Battle Ox,effect,Effect Monster,Beast-Warrior,4,EARTH,0.09,0.14,22
Enraged Muka Muka,effect,Effect Monster,Rock,5,EARTH,0.08,0.14,13
Envoy of Chaos,effect,Effect Monster,Warrior,4,DARK,0.13,0.16,95
Envoy of the Wax State,effect,Effect Monster,Illusion,3,FIRE,0.00,0.00,98
"Epigonen, the Impersonation Invader",effect,Effect Monster,Rock,7,LIGHT,0.05,0.13,52
Epsilon The Magnet Warrior,effect,Effect Monster,Rock,4,EARTH,0.07,0.07,80
Epurrely Beauty,xyz,XYZ Monster,Fairy,2,WATER,0.31,0.25,80
Epurrely Happiness,xyz,XYZ Monster,Fairy,2,LIGHT,0.14,0.08,89
Epurrely Noir,xyz,XYZ Monster,Fairy,2,DARK,0.00,0.50,77
Epurrely Plump,xyz,XYZ Monster,Fairy,2,EARTH,0.33,0.21,79
Erebus the Underworld Monarch,effect,Effect Monster,Zombie,8,DARK,2.51,2.51,101
Eria the Water Charmer,effect,Flip Effect Monster,Spellcaster,3,WATER,0.09,0.11,22
"Eria the Water Charmer, Gentle",link,Link Monster,Spellcaster,L2,WATER,0.10,0.15,90
Erica the Rikka Fairy,effect,Effect Monster,Plant,6,WATER,0.26,0.26,86
Escher the Frost Vassal,effect,Effect Monster,Aqua,4,WATER,0.12,0.16,23
Esper Girl,effect,Tuner Monster,Psychic,2,EARTH,0.23,0.30,37
Esprit Bird Token,token,Token,Winged Beast,4,WIND,0.00,0.00,18
Estranger Big Bang,effect,Effect Monster,Warrior,5,LIGHT,0.00,0.00,113
Etermakina Carnord,effect,Effect Monster,Machine,10,LIGHT,0.00,0.00,80
Etoile Cyber,effect,Effect Monster,Warrior,4,EARTH,0.03,0.09,16
Eva,effect,Effect Monster,Fairy,1,LIGHT,0.10,0.10,57
Evening Twilight Knight,effect,Effect Monster,Warrior,4,DARK,2.75,4.21,94
Evigishki Gustkraken,ritual,Ritual Effect Monster,Aqua,6,WATER,1.18,0.96,37
Evigishki Levianima,ritual,Ritual Effect Monster,Aqua,8,WATER,0.60,0.45,43
Evigishki Merrowgeist,xyz,XYZ Monster,Aqua,4,WATER,1.26,0.55,39
Evigishki Mind Augus,ritual,Ritual Effect Monster,Aqua,6,WATER,1.26,1.16,32
Evigishki Neremanas,ritual,Ritual Effect Monster,Spellcaster,10,WATER,0.22,0.16,84
Evigishki Soul Ogre,ritual,Ritual Effect Monster,Aqua,8,WATER,1.18,0.71,35
Evigishki Tetrogre,ritual,Ritual Effect Monster,Aqua,6,WATER,0.66,0.40,53
Evil Dragon Ananta,effect,Effect Monster,Reptile,8,DARK,0.07,0.12,59
Evil HERO Adusted Gold,effect,Effect Monster,Fiend,4,LIGHT,3.88,1.13,53
Evil HERO Dark Gaia,fusion,Fusion Monster,Fiend,8,EARTH,0.18,0.14,73
Evil HERO Infernal Gainer,effect,Effect Monster,Fiend,4,EARTH,0.08,0.10,60
Evil HERO Infernal Prodigy,effect,Effect Monster,Fiend,2,DARK,0.18,0.19,40
Evil HERO Infernal Sniper,fusion,Fusion Monster,Fiend,6,FIRE,0.10,0.17,57
Evil HERO Inferno Wing,fusion,Fusion Monster,Fiend,6,FIRE,0.14,0.15,73
Evil HERO Lightning Golem,fusion,Fusion Monster,Fiend,6,LIGHT,0.12,0.16,36
Evil HERO Malicious Bane,fusion,Fusion Monster,Fiend,8,DARK,3.37,0.82,89
Evil HERO Malicious Edge,effect,Effect Monster,Fiend,7,EARTH,0.10,0.19,28
Evil HERO Malicious Fiend,fusion,Fusion Monster,Fiend,8,FIRE,0.08,0.15,45
Evil HERO Sinister Necrom,effect,Effect Monster,Fiend,5,DARK,2.50,0.17,38
Evil HERO Wild Cyclone,fusion,Fusion Monster,Fiend,8,EARTH,0.07,0.16,59
Evil Thorn,effect,Effect Monster,Plant,1,DARK,0.02,0.22,36
Evil★Twin Ki-sikil,link,Link Monster,Fiend,L2,LIGHT,26.45,1.23,78
Evil★Twin Lil-la,link,Link Monster,Fiend,L2,DARK,12.87,0.89,83
Evil★Twin's Trouble Sunny,link,Link Monster,Fiend,L4,LIGHT,5.13,0.49,74
Evil★Twins Ki-sikil & Lil-la,effect,Effect Monster,Fiend,8,DARK,8.23,4.54,86
Evilswarm Azzathoth,effect,Flip Effect Monster,Reptile,4,DARK,0.16,0.16,15
Evilswarm Bahamut,xyz,XYZ Monster,Dragon,4,DARK,0.55,0.73,39
Evilswarm Castor,effect,Effect Monster,Warrior,4,DARK,0.50,0.61,30
Evilswarm Coppelia,effect,Effect Monster,Machine,6,DARK,0.17,0.14,41
Evilswarm Exciton Knight,xyz,XYZ Monster,Fiend,4,LIGHT,9.45,6.88,57
Evilswarm Golem,effect,Effect Monster,Rock,5,DARK,0.16,0.17,19
Evilswarm Heliotrope,normal,Normal Monster,Rock,4,DARK,0.14,0.39,24
Evilswarm Hraesvelg,effect,Flip Effect Monster,Winged Beast,4,DARK,0.17,0.17,14
Evilswarm Kerykeion,effect,Effect Monster,Spellcaster,4,DARK,0.86,0.81,80
Evilswarm Ketos,effect,Effect Monster,Aqua,4,DARK,0.09,0.09,16
Evilswarm Mandragora,effect,Effect Monster,Plant,4,DARK,0.07,0.04,18
Evilswarm Nightmare,xyz,XYZ Monster,Fiend,4,DARK,0.24,0.70,34
Evilswarm O'lantern,effect,Effect Monster,Pyro,4,DARK,0.13,0.15,16
Evilswarm Obliviwisp,effect,Effect Monster,Pyro,4,DARK,0.07,0.12,19
Evilswarm Ophion,xyz,XYZ Monster,Dragon,4,DARK,1.24,1.89,43
Evilswarm Ouroboros,xyz,XYZ Monster,Dragon,4,DARK,0.68,0.48,73
Evilswarm Salamandra,effect,Effect Monster,Dinosaur,4,DARK,0.03,0.07,25
Evilswarm Thanatos,xyz,XYZ Monster,Fiend,4,DARK,0.18,0.13,29
Evilswarm Thunderbird,effect,Effect Monster,Thunder,4,DARK,0.52,0.27,58
Evilswarm Zahak,effect,Effect Monster,Dragon,4,DARK,0.09,0.14,37
Evocator Chevalier,effect,Gemini Monster,Warrior,4,FIRE,0.19,0.56,63
Evocator Eveque,effect,Gemini Monster,Warrior,4,FIRE,0.17,0.14,83
Evolsaur Cerato,effect,Effect Monster,Dinosaur,4,FIRE,1.00,1.17,52
Evolsaur Darwino,effect,Effect Monster,Dinosaur,5,FIRE,0.11,0.15,30
Evolsaur Diplo,effect,Effect Monster,Dinosaur,4,FIRE,0.25,0.29,23
Evolsaur Elias,effect,Effect Monster,Dinosaur,6,FIRE,0.13,0.25,28
Evolsaur Lios,effect,Effect Monster,Dinosaur,4,FIRE,0.17,0.10,86
Evolsaur Pelta,effect,Effect Monster,Dinosaur,4,FIRE,0.17,0.19,47
Evolsaur Terias,effect,Effect Monster,Dinosaur,6,FIRE,0.14,0.17,18
Evolsaur Vulcano,effect,Effect Monster,Dinosaur,4,FIRE,0.18,0.32,31
Evoltile Casinerio,effect,Effect Monster,Reptile,3,FIRE,0.16,0.15,50
Evoltile Elginero,effect,Effect Monster,Reptile,2,FIRE,0.20,0.33,40
Evoltile Gephyro,effect,Effect Monster,Reptile,1,FIRE,0.09,0.11,25
Evoltile Lagosucho,effect,Effect Monster,Reptile,3,FIRE,0.17,0.11,34
Evoltile Megachirella,effect,Effect Monster,Reptile,1,FIRE,0.14,0.19,75
Evoltile Najasho,effect,Effect Monster,Reptile,2,FIRE,0.06,0.22,18
Evoltile Odonto,effect,Effect Monster,Reptile,2,FIRE,0.13,0.13,16
Evoltile Pholis,effect,Effect Monster,Reptile,2,FIRE,0.09,0.07,78
Evoltile Pleuro,effect,Effect Monster,Reptile,1,FIRE,0.10,0.11,22
Evoltile Westlo,effect,Flip Effect Monster,Reptile,3,FIRE,0.52,1.41,9
Evolzar Dolkka,xyz,XYZ Monster,Dragon,4,FIRE,1.58,0.47,33
Evolzar Laggia,xyz,XYZ Monster,Dragon,4,FIRE,1.23,0.52,45
Evolzar Lars,xyz,XYZ Monster,Dragon,6,FIRE,0.00,8.58,65
Evolzar Solda,xyz,XYZ Monster,Dragon,6,FIRE,0.09,0.14,37
"Exa, Enforcer of the Nekroz",effect,Effect Monster,Dragon,5,WATER,0.15,0.22,62
Exarion Universe,effect,Effect Monster,Beast-Warrior,4,DARK,0.05,0.12,40
Exceed the Pendulum,link,Link Monster,Spellcaster,L3,LIGHT,0.19,0.48,89
Excode Talker,link,Link Monster,Cyberse,L3,WIND,0.04,0.11,69
Exiled Force,effect,Effect Monster,Warrior,4,EARTH,0.15,0.25,15
Exodia Necross,effect,Effect Monster,Spellcaster,4,DARK,0.58,0.40,83
Exodia the Forbidden One,effect,Effect Monster,Spellcaster,3,DARK,0.15,0.87,40
"Exodia, the Legendary Defender",effect,Effect Monster,Spellcaster,10,DARK,0.49,0.59,55
Exodius the Ultimate Forbidden Lord,effect,Effect Monster,Spellcaster,10,DARK,0.64,0.58,92
Exosister Asophiel,xyz,XYZ Monster,Warrior,4,LIGHT,0.15,0.20,76
Exosister Elis,effect,Effect Monster,Spellcaster,4,LIGHT,0.22,0.42,79
Exosister Gibrine,xyz,XYZ Monster,Warrior,4,LIGHT,0.14,0.20,94
Exosister Irene,effect,Effect Monster,Spellcaster,4,LIGHT,0.15,0.18,82
Exosister Kaspitell,xyz,XYZ Monster,Warrior,4,LIGHT,0.14,0.14,77
Exosister Martha,effect,Effect Monster,Spellcaster,4,LIGHT,1.51,1.63,96
Exosister Mikailis,xyz,XYZ Monster,Warrior,4,LIGHT,1.73,2.04,84
Exosister Sophia,effect,Effect Monster,Spellcaster,4,LIGHT,1.01,1.20,75
Exosister Stella,effect,Effect Monster,Spellcaster,4,LIGHT,0.23,0.34,78
Exosisters Magnifica,xyz,XYZ Monster,Warrior,8,LIGHT,2.37,17.86,104
Exploder Dragon,effect,Effect Monster,Dragon,3,EARTH,0.12,0.28,30
Exploder Dragonwing,synchro,Synchro Monster,Dragon,7,DARK,5.92,4.89,69
Exploderokket Dragon,effect,Effect Monster,Dragon,7,DARK,0.11,0.30,81
Explosive Magician,synchro,Synchro Monster,Spellcaster,6,LIGHT,0.12,0.22,26
Explossum,effect,Effect Monster,Beast,1,EARTH,0.04,0.10,65
Express Train Trolley Olley,effect,Effect Monster,Machine,4,EARTH,0.15,0.24,28
Expressroid,effect,Effect Monster,Machine,4,EARTH,0.08,0.13,22
Expurrely Happiness,xyz,XYZ Monster,Fairy,7,LIGHT,0.00,0.20,107
Expurrely Noir,xyz,XYZ Monster,Fairy,7,DARK,0.00,0.25,89
Extox Hydra,fusion,Fusion Monster,Reptile,4,WATER,0.00,0.75,65
Extra Veiler,effect,Effect Monster,Spellcaster,2,LIGHT,0.08,0.16,42
Extraceratops,effect,Effect Monster,Warrior,1,EARTH,0.03,0.02,76
"Exxod, Master of The Guard",effect,Effect Monster,Rock,8,EARTH,1.16,0.88,42
Eyearmor,normal,Normal Monster,Warrior,2,EARTH,0.00,0.00,11
F.A. Auto Navigator,effect,Tuner Monster,Machine,1,WIND,0.08,0.11,95
F.A. Dark Dragster,effect,Effect Monster,Machine,7,DARK,0.06,0.13,83
F.A. Dawn Dragster,synchro,Synchro Monster,Machine,7,LIGHT,0.34,0.58,81
F.A. Hang On Mach,effect,Effect Monster,Machine,4,WIND,0.12,0.11,61
F.A. Motorhome Transport,synchro,Synchro Monster,Machine,9,LIGHT,0.04,0.11,78
F.A. Shining Star GT,link,Link Monster,Machine,L2,LIGHT,0.05,0.04,89
F.A. Sonic Meister,effect,Effect Monster,Machine,4,WIND,0.08,0.15,65
F.A. Turbo Charger,effect,Effect Monster,Machine,6,WIND,0.03,0.08,96
F.A. Whip Crosser,effect,Effect Monster,Machine,4,WIND,0.08,0.13,74
Fabled Andwraith,synchro,Synchro Monster,Fiend,6,LIGHT,0.03,0.06,79
Fabled Ashenveil,effect,Effect Monster,Fiend,4,LIGHT,0.06,0.08,38
Fabled Dianaira,effect,Effect Monster,Fiend,8,LIGHT,0.35,0.11,43
Fabled Dyf,effect,Effect Monster,Fiend,3,LIGHT,0.19,0.09,28
Fabled Gallabas,effect,Effect Monster,Fiend,4,LIGHT,0.37,0.08,28
Fabled Grimro,effect,Effect Monster,Fiend,4,LIGHT,0.27,0.19,31
Fabled Krus,effect,Effect Monster,Fiend,2,LIGHT,0.51,0.18,26
Fabled Kushano,effect,Tuner Monster,Fiend,3,LIGHT,0.37,0.20,22
Fabled Leviathan,synchro,Synchro Monster,Fiend,10,LIGHT,0.44,0.14,38
Fabled Lurrie,effect,Effect Monster,Fiend,1,LIGHT,0.35,0.15,11
Fabled Marcosia,effect,Effect Monster,Fiend,4,LIGHT,0.04,0.03,73
Fabled Miztoji,effect,Tuner Monster,Fiend,2,LIGHT,0.16,0.08,33
Fabled Oltro,effect,Tuner Monster,Fiend,2,LIGHT,0.16,0.06,25
Fabled Ragin,synchro,Synchro Monster,Fiend,5,LIGHT,0.47,0.19,36
Fabled Raven,effect,Tuner Monster,Fiend,2,LIGHT,0.12,0.15,32
Fabled Soulkius,effect,Effect Monster,Fiend,6,LIGHT,0.12,0.08,28
Fabled Topi,effect,Effect Monster,Fiend,1,LIGHT,0.22,0.07,41
Fabled Urustos,effect,Effect Monster,Fiend,4,LIGHT,0.21,0.08,19
Fabled Valkyrus,synchro,Synchro Monster,Fiend,8,LIGHT,1.89,0.16,22
Fairy Archer,effect,Effect Monster,Fairy,3,LIGHT,0.13,0.24,42
Fairy Archer Ingunar,effect,Effect Monster,Plant,6,EARTH,0.05,0.05,68
Fairy Cheer Girl,xyz,XYZ Monster,Fairy,4,LIGHT,0.33,0.27,30
Fairy Dragon,normal,Normal Monster,Dragon,4,WIND,4.05,3.93,7
Fairy Guardian,effect,Effect Monster,Fairy,3,WIND,0.02,0.16,27
Fairy King Albverdich,xyz,XYZ Monster,Plant,4,EARTH,0.35,0.21,29
Fairy King Truesdale,effect,Effect Monster,Plant,6,WATER,0.69,0.43,17
Fairy Knight Ingunar,xyz,XYZ Monster,Plant,6,EARTH,3.55,1.07,39
Fairy of the Fountain,normal,Normal Monster,Aqua,4,WATER,0.00,0.00,13
Fairy Tail - Luna,effect,Effect Monster,Spellcaster,4,LIGHT,0.11,0.09,69
Fairy Tail - Rella,effect,Effect Monster,Spellcaster,4,LIGHT,0.03,0.07,49
Fairy Tail - Rochka,effect,Effect Monster,Spellcaster,4,LIGHT,0.25,0.21,78
Fairy Tail - Sleeper,effect,Flip Effect Monster,Spellcaster,4,LIGHT,0.02,0.10,55
Fairy Tail - Snow,effect,Effect Monster,Spellcaster,4,LIGHT,0.19,0.22,48
Fairy's Gift,normal,Normal Monster,Spellcaster,4,LIGHT,6.73,1.22,10
Fairyant the Circular Sorcerer,effect,Tuner Monster,Insect,3,WIND,0.23,0.20,57
Fairywitch,normal,Normal Monster,Spellcaster,3,DARK,0.00,0.00,15
Faith Bird,normal,Normal Monster,Winged Beast,4,WIND,6.26,0.37,9
Falchion Beta,effect,Effect Monster,Machine,4,LIGHT,0.00,0.19,49
Fallen Angel of Roses,effect,Effect Monster,Plant,7,EARTH,0.08,0.13,32
